PR	imm_duration	strain	mouse	plate	gc	node	cell_type	hc_barcode	lc_barcode	row	col
2.01	d15	wt	9	16	9D	LI	GC	12	7	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.02	d15	wt	10	8	10D	LI	GC	8	8	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.03	d15	wt	8	8	28A	RP	GC	8	8	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.04	d15	wt	7	8	25B	LP	GC	8	8	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	6	15	6D	LI	GC	13	8	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	1	2	1A	RP	GC	9	9	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.02	d15	wt	7	9	7A	RP	GC	9	9	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.03	d15	wt	7	9	26B	RI	GC	9	9	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.04	d15	wt	6	9	22A	RI	GC	9	9	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.02	d15	wt	12	10	12B	LP	GC	10	10	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.03	d15	wt	1	10	4A	LI	GC	10	10	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.04	d15	wt	8	10	29B	LP	GC	10	10	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	10	1	10B	LP	GC	16	10	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	2	5	2A	RP	GC	10	11	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.02	d15	wt	12	11	12D	LI	GC	11	11	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.03	d15	wt	8	11	30A	RI	GC	11	11	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.04	d15	wt	8	11	28B	RP	GC	11	11	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	5	11	5D	LI	GC	3	12	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.02	d15	wt	12	12	12C	RI	GC	12	12	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.03	d15	wt	2	12	5B	RP	GC	12	12	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.04	d15	wt	1	12	2B	LP	GC	12	12	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	6	13	6B	LP	GC	1	13	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.02	d15	wt	10	13	10A	RP	GC	13	13	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.04	d15	wt	6	13	21A	LP	GC	13	13	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.02	d15	wt	9	14	9C	RI	GC	14	14	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.04	d15	wt	6	14	22B	RI	GC	14	14	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	6	12	6A	RP	GC	15	14	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	3	7	3B	LP	GC	8	15	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.04	d15	wt	5	15	17A	RP	GC	15	15	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	4	8	4A	RP	GC	6	16	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.04	d15	wt	6	16	20B	RP	GC	16	16	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
